"comments","likes","shares","text"
"59","2216","22","Former New Zealand star Corey Anderson will be a part of USA's T20I squad to face Canada as the ICC Men's #T20WorldCup 2024 co-hosts gear up for the mega-event 👊

Read on 👇"
"288","7037","26","Pakistan will play a total of 12 T20Is to get into the groove for the ICC Men's #T20WorldCup 2024 😲

Details 👇"
"60","4456","82","Captain's knock 🫡

#OnThisDay, Michael Clarke's splendid 72-ball 74 against New Zealand in his final ODI propelled Australia to the Men's ICC Cricket World Cup title in 2015 🏆"
"50","2436","39","Mitchell Starc breathing fire 🥵🔥

#Cricket #CricketReels"
"48","3894","72","Mitchell Starc breathing fire 🥵🔥

#Cricket #CricketReels"
"1136","35173","1275","With twin tons in the first #BANvSL Test, Dhananjaya de Silva has made rapid strides in the latest ICC Men's Player Rankings update 🙌

More ➡ https://bit.ly/49erUyT

#WTC25"
"27","1186","5","A few experienced performers have missed out in Australia men's national contracts for 2024-25."
"54","1216","7","Despite missing out on central contracts with Australia, Ashton Agar and Marcus Stoinis are firmly in the mix for the upcoming #T20WorldCup 2024 😯

Details ➡ https://bit.ly/3VzVED5"
"20","337","4","England and New Zealand hit with injury concerns to key players ahead of the ODI leg of the tour 👀

#NZvENG

"
"407","12128","78","Asitha Fernando comes in place of Kasun Rajitha for the second #BANvSL Test.

More ➡️ https://bit.ly/3vxtzlo"
"63","2832","13","Laura Wolvaardt became the third South African to register a Women's T20I ton in the first #SAvSL game 👏

Watch the series live and FREE on ICC.tv (in select regions) 📺

Scorecard 📝: https://bit.ly/3xgdQrt"
"48","1989","12","Australia ponder adding a third spinner in squad for the upcoming ICC Men's #T20WorldCup 2024 🤔"
"7213","74125","1429","A historic first for Bangladesh as Sharfuddoula Ibne Shahid is included in the ICC Elite Panel of Umpires.

"
"425","30466","511","A unique double hat-trick for Lasith Malinga 
💥
The Sri Lankan speedster collected four wickets in four deliveries during an inspired spell against South Africa at the 2007 edition of the @cricketworldcup 😲"
"191","4717","31","Four new additions in Australia Men’s contract list for 2024-25.
 
Details ➡️ https://bit.ly/3xfXLlB"
"15","748","5","An historic day for Namibia as their women’s cricket team secured central contracts for the first time 🙌"
"12","504","2","England will be without a key component of their strong spin contingent during the next three matches of their tour of New Zealand.

Details 👇"
"260","41930","257","Heinrich Klaasen shines in India 🔥

The South Africa batter showed his class during the recent ICC Cricket World Cup as he smashed a total of 19 sixes for his side 🎥"
"65","2776","11","A rankings boost for a host of Sri Lanka players following their emphatic victory in the first #WTC25 Test against Bangladesh 🔥"
"165","8350","180","Four wickets in four deliveries from Lasith Malinga 😮

#cricket #cricketreels #CWC07"
"35","1541","7","JUST IN - Some surprises as Cricket Australia reveal the names of the 23 men's players to have won new playing contracts for 2024-25 👀

Details 👇"
"28","1012","11","A century from skipper Laura Wolvaardt helped South Africa power to a comfortable victory over Sri Lanka in the first T20I in Benoni 👏

Scorecard: https://www.icc-cricket.com/matches/233654/south-africa-women-vs-sri-lanka-women"
"86","2676","6","A series sweep for the Aussies in their first women's ODI bilateral series in Bangladesh 🙌

#BANvAUS | #IWC"
"49","2160","12","South Africa have revealed their contract list for the upcoming season with a few major absentees 😯

More ➡ https://bit.ly/3VCpqay"
"78","2369","26","Laura Wolvaardt's ton powers South Africa to their second-highest total in women's T20Is 🙌

Watch the #SAvSL series live and FREE on ICC.tv (in select regions) 📺

Scorecard 📝: https://www.icc-cricket.com/matches/233654/south-africa-women-vs-sri-lanka-women"
"170","9866","65","Destructive Heinrich Klaasen ✨

#cricket #cricketreels"
"52","1475","7","The highest score by a visiting player against the White Ferns in New Zealand in Women's T20Is 🙌

Well batted, Maia Bouchier 👏

✍: https://bit.ly/4aqWgiC"
"54","1890","11","Sri Lanka will be without a key pacer for the second #BANvSL Test match.

#WTC25"
"225","14592","160","Poetry in motion ft. Virat Kohli 👌

#Cricket #CricketReels"
"877","183414","868","Mohammad Nabi defends 10 runs in the final over 👏

#OnThisDay in 2016, Afghanistan beat West Indies in a low-scoring thriller in the #T20WorldCup game in Nagpur 📽"
"124","4078","52","Ali Khan sets sights on dream match-ups against Virat Kohli and Babar Azam at the #T20WorldCup 👀

#Cricket #CricketReels"
"47","1353","14","Danni Wyatt reaches new heights 🤩

She has surpassed Charlotte Edwards to become England’s leading run-scorer in Women’s T20Is 💪

#NZvENG | More 👉 https://bit.ly/3IVyXlp"
"19","390","3","In a historic first, 10 players of the Namibia Women’s team were handed central contracts 👏

Details 👇"
"48","6611","24","Elegance from Rachin Ravindra 🔥

#cricket #cricketreels"
"141","3863","17","Star performers from Sri Lanka’s Sylhet triumph gain big in the latest ICC Men’s Test Player Rankings.

Details 👇"
"435","9876","38","Australia produce a thoroughly dominating performance and whitewash Bangladesh 3-0 in the ICC Women’s Championship ODI series 👊

#BANvAUS | 📝: https://bit.ly/3TSkbCb"
"23","1097","3","Big names miss out as South Africa announce their men's and women’s contracted squads for the 2024/25 season."
"68","1083","7","Kim Garth and Ashleigh Gardner take three wickets each as Australia bowl Bangladesh out for 89.

A series sweep on the cards for the visitors?

#BANvAUS | 📝 https://bit.ly/3vkZQw2"
"353","21348","113","Mohammad Nabi holds his nerve in Nagpur 💪

#cricket #cricketreels"
"15","609","7","A big day for England as records were broken during their commanding victory over New Zealand in the fourth T20I in Wellington 🙌

Details 👇"
"456","30354","463","Virat Kohli at his brilliant best 💥

The India superstar guided his side into the semi-finals of the 2016 #T20WorldCup with a superb unbeaten 82* against Australia in Mohali 🎥"
"71","3630","13","🔥 Six white-ball matches with Pakistan
🏏 Five #WTC25 Tests against India

Some mouth-watering contests coming up in Australia this summer 👀"
"31","1865","22","So much to look forward to during next year's multi-format women's Ashes series between Australia and England 😍

More 👉 https://www.icc-cricket.com/news/mcg-to-host-its-first-ever-day-night-test-during-women-s-ashes"
"380","6467","20","Shakib Al Hasan returns to the fold as Bangladesh name their squad for the second Test against Sri Lanka 👀

#WTC25 | #BANvSL"
"19","601","4","Australia's strong start to their ongoing white-ball series in Bangladesh has seen a host of their best players make good ground on the latest ICC Women's ODI Player Rankings 🙌"
"2742","53090","225","Shakib Al Hasan makes a long-awaited return as Bangladesh announce their squad for the second Test against Sri Lanka 🗒

#WTC25 | #BANvSL | ✍: https://bit.ly/3TTxB0X"
"131","8527","46","🔸 Australia players make positive strides in ODI rankings
🔸 Bangladesh spinner enters top 10 
🔸 England spinner closes in on teammate in T20I rankings 

Latest from the Women's Player Rankings Update ➡ https://bit.ly/3Vynkbs"
"7","396","4","Laura Wolvaardt highlighted the importance of the upcoming white-ball games against Sri Lanka 👀

Watch the #SAvSL series live and FREE on ICC.tv (in select regions) 📺"
"36","1263","11","Loads of Women’s cricket action upcoming LIVE and FREE on ICC TV 🤩

Find out 👇"
"66","2255","6","Virat Kohli discussed finer points of his short-format batting with the #T20WorldCup closing in 👀

"
"70","2356","4","Virat Kohli discussed finer points of his short-format batting with the #T20WorldCup closing in 👀

"
"382","16014","225","The battle lines will be drawn again 🤜🤛

The Border-Gavaskar Trophy will be contested across a five-match Test series when India tour Australia later this year 🤩

#WTC25 | ➡ https://bit.ly/3VzWyQi"
"41","1984","11","🚨 Two key South Africa players miss out on central contract for 2024/25 season.

Details 👇"
"430","18468","562","The Dilshan-Tharanga show 🔥
 
#OnThisDay, the destructive duo forged an unbeaten 231-run stand, the third-highest opening partnership in Men's ICC Cricket World Cup history, against England in 2011 👊"
"594","5999","21","Bangladesh's ace all-rounder is set for a Test comeback after nearly a year 💪

#WTC25 | #BANvSL | Details 👇"
"22","863","6","The iconic Melbourne Cricket Ground will host a Women's Test for the first time since 1949 when Australia face England in the Ashes 🏆"
"14","527","6","Australia stars surge in the weekly ICC Women's Player Rankings update after a strong start to the Bangladesh tour 👊"
"204","5790","34","Mark your calendars 🗓

India and Pakistan will visit Australian shores in a blockbuster home summer Down Under 🔥"
"18","544","1","PNG Women, who were awarded ODI status in 2022, played their first ODI two days ago.

More on their performance 👇"
"134","7314","134","105 off 93 balls with 11 fours and 2 sixes 💥

#OnThisDay in 2015, Steve Smith dominated India bowlers and set up Australia’s win in the ICC Men’s ICC Cricket World Cup semi-final.

Revisit the brilliant ton 📽️"
"118","3628","7","Plenty happening for Pakistan as 29 of their players embark on a fitness camp in Kakul ahead of this year's #T20WorldCup."
"114","4042","7","Some tremendous insight from India star Virat Kohli just months out from the start of this year's #T20WorldCup 👀

"
"18","2439","39","Steve Smith at his brilliant best 🤩

#cricket #cricketreels #CWC15"
"72","2642","9","Changes to the #WTC25 standings following Sri Lanka's commanding victory over Bangladesh in the first #BANvSL Test in Sylhet 👀"
"17","484","2","Left-arm spinner Sophie Molineux is glad to be back playing her role for Australia during their white-ball tour of Bangladesh.

Details 👇"
"276","7566","33","Pakistan amp up ICC Men's #T20WorldCup 2024 preparations with a 29-member fitness camp in Kakul 🏏

Details 👇"
"280","12023","73","Kasun Rajitha's second Test five-for helped Sri Lanka put their first points on board in the #WTC25 standings 👏

➡ https://bit.ly/3VDlVRf"
"1539","32591","225","HAPPY HOLI 🎉

The @icc Men’s #T20WorldCup Trophy Tour joined the celebrations in #Texas and they were out of this world 💃🕺☄️"
"204","5483","51","↖️ Sri Lanka ascend
↘️ Bangladesh move down

In the latest #WTC25 standings, both teams are tied at No.6 with equal number of points as well as points percentage.

Details 👉 https://bit.ly/498Ewrq"
"117","6083","99","From the Empire State Building to the Statue of Liberty, the ICC Men’s #T20WorldCup Trophy Tour has been pretty epic so far! 🏆 🗽 🇺🇸"
"64","2691","30","Not easy to keep Jacob Oram out of the game 👊

#OnThisDay, the Kiwi star's stellar all-round performance against South Africa propelled New Zealand into the 2011 ICC Cricket World Cup semi-final 👏"
"16","2624","14","Using your height to your advantage ft. Jacob Oram 😉

#cricket #cricketreels"
"67","2492","6","Pakistan have named a preliminary squad for a training camp ahead of the home series against West Indies.

Details 👇"
"25","801","7","10 overs, 53 dot balls and 3 wickets 🔥

Sophie Molineux’s long-awaited return did not disappoint in Australia's second ICC Women’s Championship ODI against Bangladesh 👇"
"2115","85097","6575","Pakistan’s 1992 @cricketworldcup winning moment 🇵🇰✨

#reel #cricket #cricketreel"
"338","5164","46","Sri Lanka move up in the ICC World Test Championship standings after sealing a resounding win in Sylhet.

#BANvSL | #WTC25 | Details 👇"
"2571","41946","739","Mominul Haque's fighting knock of 87* goes in vain as Sri Lanka emerge as victors in the Sylhet Test.

#WTC25 | #BANvSL 📝: https://bit.ly/497Zpmv"
"472","6562","20","Sri Lanka need only three wickets to win but Mominul Haque is leading Bangladesh’s fight 👀

#WTC25 | #BANvSL 📝: https://bit.ly/497Zpmv"
"645","35041","104","Namibia have revealed their playing kit for June's #T20WorldCup 💥

More 👉 https://www.icc-cricket.com/news/2024-men-s-t20-world-cup-all-the-kits-revealed"
"122","8292","198","Five of the best from Collins Obuya 🙌

Relive the superb five-wicket haul from the Kenyan all-rounder against Sri Lanka at the 2003 @cricketworldcup 💥

More on Obuya's retirement 👉 https://www.icc-cricket.com/news/kenya-s-world-cup-legend-calls-time-on-a-23-year-old-international-career"
"80","2720","9","An update from Pakistan on Haris Rauf's contract, the search for a new coach and the potential for a different captain at June's #T20WorldCup 👀

Details 👇"
"9418","202349","35475","A memorable day in Melbourne for Pakistan 😍

Relive all the highlights as Pakistan clinched their first ICC Cricket World Cup title when they defeated England in the final of the 1992 event at the MCG 🎥"
"138","4838","27","Sri Lanka pair Dhananjaya de Silva and Kamindu Mendis created history on Sunday as the island nation took control of the first Test against Bangladesh.

#WTC25 | #BANvSL

"
"88","2680","17","Kenya's veteran all-rounder Collins Obuya has announced his retirement from international cricket 🙌

Details 👇

"
"65","1834","2","Groups and fixtures have been confirmed for the ICC Women's #T20WorldCup Qualifier 2024 next month 🗓"
"547","18183","199","Kamindu Mendis and Dhananjaya de Silva put Sri Lanka on top yet again 👊

#WTC25 | #BANvSL

➡ https://bit.ly/4a6oorH"
"2961","40274","1000","Another huge boost for Pakistan heading into ICC Men's #T20WorldCup 2024 💪

Read on 👇"
"668","88528","1073","Death over masterclass 🔥

#OnThisDay in 2014, Dale Steyn defended seven off the final over to overcome New Zealand in the ICC T20 World Cup 👏"
"11","425","6","Stirring Steyn stuns the Kiwis 👊

#cricket #Cricketreels #T20WC2014"
"2898","39051","487","Sri Lankan fast bowlers ran riot in the final stages of day three to put their side on the verge of a massive win 🔥

#WTC25 | #BANvSL 📝: https://bit.ly/4cvfIfT"
"162","13200","222","Yuvraj Singh’s composed 57* helped India defeat Australia by 5 wickets and secure a spot in the ICC Cricket World Cup semi-finals #OnThisDay in 2011 👏

Revisit the famous knock 📽️"
"1310","25850","240","Sri Lanka have set Bangladesh a target of 511 in the first Test.

#BANvSL | #WTC25 📝: https://bit.ly/3Vrxf2E"
"38","1325","20","Collins Obuya, Kenya's prolific performer over the last two decades, has called time on his career."
"389","5604","18","Australia take an unassailable 2-0 lead in the ICC Women’s Championship ODI series against Bangladesh.

#BANvAUS 📝: https://bit.ly/3vwpeic"
"1425","30232","921","Spectacular back-to-back centuries from Kamindu Mendis in just his second Test have put Sri Lanka in the driver's seat in Sylhet 👊

#BANvSL | WTC25 📝: https://bit.ly/4avpEo9"
"169","6344","64","During their 173-run partnership in the second innings of the #BANvSL Test, Dhananjaya de Silva and Kamindu Mendis achieved a rare milestone in Test cricket 🙌

Details ⬇

#WTC25

"
"1504","39470","1101","Dhananjaya de Silva becomes the first Sri Lanka batter in 10 years to score a hundred in each innings of a Test 👏

#WTC25 #BANvSL"
"45","2354","29","#OnThisDay in 2015, a superb 84* off 73 from Grant Elliott powered New Zealand to the ICC Cricket World Cup Final 🔥

Relive the carnage 📽️"
"356","8609","107","An unbeaten century stand between Dhananjaya de Silva and Kamindu Mendis has helped Sri Lanka fatten their lead.

#WTC25 | #BANvSL 📝: https://bit.ly/3vpfk1X"
"53","2677","15","New Zealand stay alive in the five-match series with a close win in the third T20I 👌

#NZvENG 📝: https://bit.ly/4amagdm"
"143","3449","20","Imad Wasim, who announced his retirement from international cricket last year, is set to reverse the decision ahead of the ICC Men's #T20WorldCup 2024 😯"
"65","4454","34","Lahiru Kumara made an impressive return to Test cricket as Sri Lanka's fast bowling group made a rare feat in Sylhet on day two of the first #BANvSL Test 🌟

More ➡ https://bit.ly/3x2ChZ8

#WTC25"
"19","696","3","All the ICC Women's #T20WorldCup Global Qualifier 2024 squads announced so far 👇"
"1098","21592","222","Imad Wasim is back in contention for Pakistan's squad for ICC Men's #T20WorldCup 2024 💪

➡ https://bit.ly/3x8wPUG"
"18","861","17","Rishabh Pant power 💪 

#cricket #cricketreels"
"49","2168","2","Sri Lanka's fast bowlers were in top form in Sylhet on day two of the #WTC25 match against Bangladesh 👏

#BANvSL"
"6982","59614","7901","#OnThisDay, Shahid Afridi ripped through the West Indies line-up in the 2011 ICC Cricket World Cup quarter-final 📽"
"627","17054","120","How Hardik Pandya turned the tide in India’s favour 🤯

#reels #cricketreels #cricket #INDvBAN #T20WorldCup"
"2455","55163","784","Bangladesh needed 11 off 6, and in comes Hardik Pandya!

#OnThisDay India claimed a famous win over the Tigers in an ICC Men’s T20 World Cup 2016 clash in Bangalore, sealing victory by just ONE run 🔥"
"503","8288","100","A big boost for Pakistan ahead of the ICC Men's #T20WorldCup 2024 👀"
"220","6707","46","Bangladesh fought back with the ball, but Sri Lanka built a good lead in Sylhet by stumps on day two 👊

#WTC25 | #BANvSL 📝: https://bit.ly/3vnjibq"
"16","450","9","All of Ricky Ponting’s sixes from his 2003 World Cup-winning 💯

#reels #cricket #cricketreels #cricketworldcup"
"162","4355","10","Bangladesh struck early, sending Sri Lanka opener Nishan Madushka back for 10.

#BANvSL 📝: https://bit.ly/3VAUCXo"
"312","9731","278","140* runs from 138 balls in a World Cup final 🤩

A captain's knock from Ricky Ponting paved the way for Australia's third ICC Men's Cricket World Cup title, defeating India by 125 runs in the 2003 edition. 

#OnThisDay 🗓️"
"883","22833","188","Sri Lanka pacers’ combined effort bowled Bangladesh out for 188.

 #BANvSL 📝: https://bit.ly/3VAUCXo"
"368","10028","30","Sri Lanka claim three wickets in the morning session of Day 2 🏏

#BANvSL 📝: https://bit.ly/3VAUCXo"
"21","800","4","Scotland have named their squad for the upcoming ICC Women’s #T20WorldCup Global Qualifier 2024 👇"
"94","4784","23","Steve Smith backs Virat Kohli for a spot in India's squad for the ICC Men's #T20WorldCup 2024 👏
 
✍️: https://bit.ly/3VquNte"
"162","10483","56","Centuries from Dhananjaya de Silva and Kamindu Mendis lifted Sri Lanka from a tricky position on day one of the first Test against Bangladesh 👀

#BANvSL 📝: https://bit.ly/3TP2MKL"
"53","1679","13","Sri Lanka’s squad for the upcoming tour of South Africa revealed.

#SAvSL | Details ➡ https://bit.ly/3Tsz252"
"39","932","5","Tolerance Oval and Zayed Cricket Stadium will host the ICC Women's #T20WorldCup Qualifier 2024 next month 🏟

Fixtures and details 👇"
"58","2055","6","Kamindu Mendis' maiden Test hundred played a pivotal role in lifting Sri Lanka out of trouble on day one of the #WTC25 Test match against Bangladesh in Sylhet 👏

#BANvSL"
"31","1149","16","The unstoppable Meg Lanning 🔥

#cricket #cricketreels"
"94","2942","12","From one member of the Fab Four to the other 🤝

Steve Smith expressed his backing for Virat Kohli to be a part of India's squad for the ICC Men's #T20WorldCup 2024 💬"
"38","1038","4","ICC Women’s #T20WorldCup 2024 preparations in focus as Sri Lanka name squad for both T20I and #IWC ODI series against South Africa 👇

#SAvSL"
"682","18223","62","Sri Lanka are on top at stumps on day one of the #WTC25 Test against Bangladesh after a remarkable comeback in Sylhet 👊

#BANvSL 📝: https://bit.ly/3TKqMP6"
"95","1901","6","With the ICC Men's #T20WorldCup 2024 just around the corner, the upcoming season of the IPL comes at a pivotal time for some of the game's biggest stars 🌟"
"52","1269","4","Pakistan stalwart Javeria Khan called time on a glittering 15-year-long international career.

➡ https://bit.ly/43v2X0X"
"64","4997","13","India skipper Rohit Sharma showered praise on the key players that led them to an impressive 4-1 win in the #INDvENG Test series 👏

#WTC25 | Read ➡ https://bit.ly/3vmghbg"
"75","7980","59","Nasser Hussain and his crystal ball 🔮

#cricket #cricketreels"
"65","1275","22","Semi-final despair for South Africa at #CWC92 😮

#cricket #cricketreels"
"27","565","1","Some sage advice from the Lucknow Super Giants coach on how his players should approach trying to win selection for June's #T20WorldCup 🤔"
"52","1271","7","Good signs for England ahead of this year's #T20WorldCup 🙌

An unbeaten half-century from Heather Knight and solid all-round display with the ball helped England open up a 2-0 lead in their five-match T20I series against New Zealand 💥

Scorecard: https://www.icc-cricket.com/matches/230208/new-zealand-women-vs-england-women"
"31","2435","20","A nervy finish on the edge of the Himalayas ⛰

England held their nerve in a tight finish to defeat India in an enthralling contest at the Women's #T20WorldCup in 2016 💥"
"23","1643","2","After amassing 4903 runs across 228 matches, former Pakistan captain Javeria Khan has called time on her international career 🙌"
"34","1151","5","The groups and fixtures have been revealed for the ICC Women's T20 World Cup Qualifier 2024 that commences in Abu Dhabi next month 🏏

Details 👇"
"55","858","4","Justin Langer has his players motivated to fight for #T20WorldCup 2024 spots 🔥

✍ https://bit.ly/43q8u95"
"176","11570","63","Ellyse Perry became the most capped Australian player in Women's ODIs when she took the field against Bangladesh 👏

#BANvAUS"
"260","6881","136","Ten teams will contest for two spots in the ICC Women's #T20WorldCup 2024 with the Qualifier set start in April 🏆

More ➡ https://bit.ly/43zJBrt"
"205","13622","36","Nahida Akter became the highest wicket-taker in Women's ODIs for Bangladesh 🙌

#BANvAUS

Details ➡ https://www.icc-cricket.com/news/nahida-akter-becomes-bangladesh-s-leading-wicket-taker-in-women-s-odis"
"38","1141","5","Rohit Sharma applauded India's young crop for their stellar performance in the recently concluded #INDvENG Test series 👏

Details ⬇

#WTC25

"
"73","2264","7","🏏 2 groups, 10 teams, 23 matches 

Fixtures for the ICC Women’s T20 World Cup Qualifier 2024 supported by Dream11 are out 👇"
"1526","31954","106","Australia make the perfect start to their tour of Bangladesh with a thumping win in the first ODI 👊

📝 #BANvAUS: https://bit.ly/3IMvB4c"
"73","2328","11","Former Pakistan captain and one of their stellar batters retires from international cricket.

More 👇"
"25","700","3","Justin Langer highlights the significance of the upcoming season of the IPL ahead of the ICC Men's #T20WorldCup 2024 👀"
"147","1405","16","One of the mainstays of the Pakistan team in the 1960s, Saeed Ahmed has passed away at 86."
"186","2533","6","Bangladesh have named a replacement for injured veteran Mushfiqur Rahim, with an uncapped batter receiving a call up to their squad for the first Test against Sri Lanka 👀

#BANvSL | #WTC25"
"169","7443","20","👏Rashid Khan back inside the top 10
📈 Pathum Nissanka rises to eighth
🙌 Bangladesh trio make good ground

All the changes to the ICC Men's Player Rankings following the latest update 👇"
"67","1462","7","West Indies will tour Pakistan next month for eight white-ball contests in Karachi 🏏"
"100","13890","58","That's large from Martin Guptill 😮

#Cricket #CricketReels #CWC15"
"30","594","3","Australia skipper Alyssa Healy is ready for the threat of Bangladesh's spin attack during their upcoming white-ball series.

Details 👇"
"133","2716","8","Australia are not taking the Bangladesh challenge lightly.

Details ➡ https://bit.ly/4a4w6me

#BANvAUS"
"43","1464","17","Kwena Maphaka's roaring start at the 2024 #U19WorldCup 🔥

#cricket #cricketreels"
"802","27981","309","🔸 Rashid Khan’s roaring T20I comeback rewarded
🔸 Pathum Nissanka enters ODI top 10

Latest from the ICC Men's Player Rankings update 👉 https://bit.ly/3x3Dn72"
"31","1090","4","Ireland were the latest team to announce their squad for the ICC Women's #T20WorldCup Qualifier starting next month 👀

Check out all the squads named so far 👇"
"49","882","4","Alyssa Healy believes that the recent WPL experience could benefit her side ahead of the Bangladesh series 👌

#BANvAUS

"
"144","2216","4","ICYMI: Bangladesh will be without the services of their key batter for the upcoming #WTC25 series against Sri Lanka.

Details 👇"
"68","2540","15","Pakistan will host the West Indies for eight white-ball matches commencing next month 🏏

Details 👇"
"299","20127","33",""
"417","10365","26","Afghanistan's ace spinner sounds a warning ahead of #T20WorldCup 2024 with a big jump in the ICC Men's T20I Player Rankings for bowlers 👀

More 👇"
"1295","32406","127","Making their #T20WorldCup debut in style 🙌

The Cricket Cranes of Uganda Cricket Association unveil their playing kit 👕🔥"
"37","1514","5","An all-time thrilling finish in Auckland at #CWC22 between New Zealand and England 😲

#Cricket #CricketReels"
"62","4728","28","Another Cricket World Cup match goes down to the wire 😮

England and New Zealand's classic finish in Auckland at #CWC22 📺"
"35","732","5","Having made a push for a spot in Australia's #T20WorldCup squad, Jason Behrendorff faces a final injury hurdle.

More 👇"
"755","8551","6","Bangladesh have lost a key player to injury for their two-Test series against Sri Lanka 👀

#BANvSL | #WTC25"
"430","8660","36","International stars in a groove 👊

The best performers at the PSL as the #T20WorldCup approaches 👇"
"128","8013","38","The Empire State Building in #T20WorldCup colours 🙌

More as the ICC Men's T20 World Cup Trophy Tour 2024 launches in New York 👇"
"2841","48058","963","Is a surprise comeback on the cards for Imad Wasim ahead of the #T20WorldCup 2024?

Details ➡ https://bit.ly/3vgZu9E"
"235","29354","453","Launching the ICC Men’s @t20worldcup Trophy Tour, Universe Boss style 😎

Watch the #T20WorldCup colours illuminate the Empire State Building ✨

#cricket #cricketreels"
"133","1848","1","On the verge of making a comeback to competitive cricket for the first time since he picked up an ankle injury in #CWC23, Hardik Pandya opened up about his excruciating layoff 👀

Details ➡ https://bit.ly/3VpZn69"
"1991","11256","669","A big loss for Sri Lanka as star all-rounder is suspended for the #BANvSL Test series 👀

Details ⬇

#WTC25

"
"290","37874","307","Taking Australia down in Colombo 👊

#OnThisDay in 2011, Umar Gul's incisive spell of fast bowling helped Pakistan break Australia's 34-match record unbeaten run in the Men's ICC Cricket World Cup 👏"
"157","12418","85","Sensational from Umar Gul 🤩

#Cricket #CricketReels #Reels #CWC11"
"954","4322","28","Australia have postponed an international engagement with Afghanistan 

Details ⬇"
"565","53141","512","The Empire State Building looks stunning in #T20WorldCup colours  🤩

The ICC Men’s T20 World Cup 2024 Trophy Tour kicks off in style in New York ft. Chris Gayle and Ali Khan 🙌

Empire State Building | Windies Cricket | USA Cricket"
"94","4503","23","Out of this World 🌎

ICC Men’s #T20WorldCup 2024 Trophy Tour launched at the Empire State Building in New York  🎉

Details 👇"
"154","7232","200","The Empire State Building lights up as the ICC Men’s #T20WorldCup Trophy Tour begins! 🌆 ✨

#reels #cricketreels #cricket"
"203","10633","88","A Rohit Sharma masterclass at the MCG 🤩

#Reels #CricketReels #CWC15 #Cricket"
"1445","35564","208","137 runs from 126 balls 💪

Throwback to when Rohit Sharma’s stunning knock against Bangladesh at the MCG guided India into the ICC Men’s Cricket World Cup 2015 semi-finals 🤩

#OnThisDay 📽️"
"87","3907","16","Pure class from Beth Mooney 🔥

#cricket #cricketreels"
"26","653","2","A cruel injury blow has curtailed an Australian fast bowler's push for #T20WorldCup selection 👀

More 👇"
