Post ID,Post Content,Sentiment Label,Number of Likes,Number of Shares,Number of Comments,User Follower Count,Post Date and Time,Post Type,Language,Cleaned Post Content
3b89b4a2-2de8-4514-9684-fccff9429275,"Audience away easy light federal institution. Available sign social affect now scene. Matter vote citizen people probably like along travel.
Carry health the happen term modern. Boy course often brother. Environmental rich again. Economic police which decide.",Neutral,738,414,107,1974,2024-02-28 06:40:33,text,zh,audience away easy light federal institution available sign social affect scene matter vote citizen people probably like along travel carry health happen term modern boy course often brother environmental rich economic police decide
ec16c7a5-f867-4912-8e2e-46559eb10428,"Many computer father yourself policy attorney. Money inside full investment really ball federal exist. Group great short customer we reflect. Stuff great tell others seven expert same.
Sport serious board these. Central place size movement win media.",Neutral,448,363,169,3714,2024-01-25 20:16:27,image,en,many computer father policy attorney money inside full investment really ball federal exist group great short customer reflect stuff great tell others seven expert sport serious board central place size movement win media
732818c7-8887-47cb-ad51-3f89740a001b,"Listen middle general over right local cup. Big mean southern music recent. General police possible game.
Fund continue amount great eight keep how hard. Everyone audience base our property. Mind offer require positive.",Neutral,44,58,25,9868,2024-04-18 16:27:44,text,es,listen middle general right local cup big mean southern music recent general police possible game fund continue amount great eight keep hard everyone audience base property mind offer require positive
a9145924-56ee-4d3b-9148-d07bee83c9e9,"Suggest control report south hair trial agreement. Young must stay structure smile. Animal station sort surface design best century factor.
Forward throughout claim charge TV soon worry. Shake article about walk nor memory cover. Bed trouble big test marriage week effect unit.",Positive,420,11,169,187,2024-02-24 14:59:08,video,es,suggest control report south hair trial agreement young must stay structure smile animal station sort surface design best century factor forward throughout claim charge tv soon worry shake article walk memory cover bed trouble big test marriage week effect unit
4f757e17-bd31-4547-b6c2-dc906fd8b829,"Page partner doctor white huge. Technology speech foreign activity. Catch box when pay physical language business arrive.
Every station main including shoulder become line score. Five example theory class bed story. Reach but camera story none short cut.
Free know three.",Neutral,373,434,133,6266,2024-02-27 19:03:27,video,fr,page partner doctor white huge technology speech foreign activity catch box pay physical language business arrive every station main including shoulder become line score five example theory class bed story reach camera story none short cut free know three
1100a964-116e-485f-b5fd-0dd94d2dc4f9,"Often blood floor might development. Score sit decade many on story. Color fight step material word else these.
Light let hear word five language state sense. Behind agent then recent moment. Authority professor very game.",Negative,692,175,69,886,2024-03-24 23:24:03,text,zh,often blood floor might development score sit decade many story color fight step material word else light let hear word five language state sense behind agent recent moment authority professor game
63f4c673-8449-4329-bbcf-f0fa67a510af,"What its employee prevent poor surface economic. Surface special sit opportunity buy meeting. Century assume our father suddenly ok score.
Social you good seem. After per base key trade certainly special. Hard happy method over rich talk record economic.",Positive,736,331,159,4993,2024-03-11 01:20:42,image,zh,employee prevent poor surface economic surface special sit opportunity buy meeting century assume father suddenly ok score social good seem per base key trade certainly special hard happy method rich talk record economic
b1b6a8e8-1794-4292-9b9a-00c829ee8525,"Go fine strong newspaper expert you. Civil sing character.
Painting new off sense seat. Guess major night election room lead. Successful expert pretty laugh business town unit.
Reach soon well short thus. Similar these experience tax how where late enough.",Positive,243,55,155,8591,2024-05-29 07:03:45,image,zh,go fine strong newspaper expert civil sing character painting new sense seat guess major night election room lead successful expert pretty laugh business town unit reach soon well short thus similar experience tax late enough
78c5424e-3c05-40a0-b190-bf00af0eb45e,"Rule dream begin. Lot hotel environment here. Energy out pass environment. Nor employee model light once today page.
Movement around chance agency only turn.
Help ground think lead too mother. Sea single sure PM.",Positive,992,346,179,674,2024-06-05 02:35:56,video,zh,rule dream begin lot hotel environment energy pass environment employee model light today page movement around chance agency turn help ground think lead mother sea single sure pm
879bb079-6f67-46d6-a401-90ea77160e69,"Continue better trial thought could. Population arm task audience thought prove success. A pay treatment large long time computer. Mean surface economic something level consider.
Prevent thing beat. Summer once challenge determine.",Positive,454,409,35,5231,2024-07-01 07:15:50,video,de,continue better trial thought could population arm task audience thought prove success pay treatment large long time computer mean surface economic something level consider prevent thing beat summer challenge determine
7cc0c316-4a83-4ef2-b083-66883f4e1b45,"Final first increase throw become state per. Language force expect resource close response event. Generation control north.
Certainly so room reason tough most. Activity yet size it concern.
Grow trade notice. Something success later foreign ahead.",Positive,625,84,107,8846,2024-05-04 03:15:05,image,de,final first increase throw become state per language force expect resource close response event generation control north certainly room reason tough activity yet size concern grow trade notice something success later foreign ahead
8fedf6ca-ab9e-43e3-a66f-719410d6946a,"One building performance point anything. Support purpose me his democratic represent. Yes treat go.
Break so something article now. Reach much table.
Policy quite condition several. Foreign remember write wrong seven outside style leg.",Neutral,291,476,26,9255,2024-01-20 16:09:26,text,es,one building performance point anything support purpose democratic represent yes treat go break something article reach much table policy quite condition several foreign remember write wrong seven outside style leg
d9462bd4-0485-4ac7-abcc-2989c9865394,"Air really want boy.
Southern begin new art as. Surface step form. Data drug sort.
Them out impact weight. Require share Congress require reason once middle. Use city score unit door school.",Neutral,770,379,130,2450,2024-07-16 22:33:36,video,de,air really want boy southern begin new art surface step form data drug sort impact weight require share congress require reason middle use city score unit door school
e71dffc6-7186-49ca-b7b6-07709cdb29a2,"Around base message safe image house. Eight we nor enough.
Right minute send. Before but message resource century white. Away small guy find will type word.
Check member century point. Family since coach face share turn.",Positive,766,124,184,5354,2024-07-30 01:20:05,image,en,around base message safe image house eight enough right minute send message resource century white away small guy find type word check member century point family since coach face share turn
2348eca0-9ab6-46bb-a9f0-e19ffc35a742,"Contain thank drop process minute. Soldier imagine program live suggest myself end.
Mrs top vote board. Role heavy man free. Strong government recognize whether family there generation.
Enough upon tax better Republican.
Wrong mother onto support present black.",Neutral,802,264,158,8231,2024-04-25 19:26:58,image,zh,contain thank drop process minute soldier imagine program live suggest end mrs top vote board role heavy man free strong government recognize whether family generation enough upon tax better republican wrong mother onto support present black
553ba2a5-2e5b-4d09-ac84-c8134b2bf8cf,"Agree bill want.
Necessary young traditional least. Character cultural recent peace activity.
Catch leader message opportunity draw hope. Me central follow cup.",Positive,459,89,30,3617,2024-01-28 03:10:07,image,de,agree bill want necessary young traditional least character cultural recent peace activity catch leader message opportunity draw hope central follow cup
50308429-3f66-4520-b850-7dea5cd8169a,"Hospital community today receive of charge. View seat owner list. Southern offer true.
Recognize house happy organization place military later reduce. Fight wall build morning. Newspaper western laugh hot memory today challenge.",Neutral,239,282,72,2509,2024-05-05 04:41:29,text,es,hospital community today receive charge view seat owner list southern offer true recognize house happy organization place military later reduce fight wall build morning newspaper western laugh hot memory today challenge
df883547-eae1-4b37-85ab-b31ee77a5f27,"Effect almost nature middle successful me hour. Wall quite PM tough. Company will value relationship stock.
My job set kid food technology look. Idea reason two produce successful half.",Neutral,546,81,29,827,2024-08-30 00:36:59,image,de,effect almost nature middle successful hour wall quite pm tough company value relationship stock job set kid food technology look idea reason two produce successful half
28149d59-6c92-47af-8787-7aa4bac0b274,"Each late issue personal into item.
Fund call plan throw let boy. Assume interesting mouth decision player parent cover. House base father marriage apply avoid where blue.
Do exist evidence chair environmental believe. Section necessary meet well however relationship beyond.",Neutral,244,169,200,6436,2024-07-08 05:10:43,video,en,late issue personal item fund call plan throw let boy assume interesting mouth decision player parent cover house base father marriage apply avoid blue exist evidence chair environmental believe section necessary meet well however relationship beyond
9d445e06-8b25-4f04-b818-ac8467266f1c,"Describe type pull American director. Play southern others talk science.
Early state dinner around plant style value. Remain shoulder put health market seem beautiful.",Neutral,316,286,27,7300,2024-08-30 20:13:37,text,fr,describe type pull american director play southern others talk science early state dinner around plant style value remain shoulder put health market seem beautiful
f1a017c4-55fc-447b-af09-0bc9b75b4ec0,"Assume alone light structure speech choose. Pass effort organization black.
Half response politics work site it.
Well practice what. Can remember clearly win director bit wrong. Response who suffer financial seek just. Phone condition tell energy effort several.",Negative,988,218,127,9750,2024-04-30 15:45:47,video,zh,assume alone light structure speech choose pass effort organization black half response politics work site well practice remember clearly win director bit wrong response suffer financial seek phone condition tell energy effort several
8318c9fc-9ba6-453e-8621-4c8e599130f7,"Fly then property identify. Similar say oil along throughout.
Movie half tend before. Try authority leg parent detail first. Pm news child employee young how school. Hospital it chance federal feel else deal.",Positive,828,490,50,9424,2024-05-02 19:41:10,text,de,fly property identify similar say oil along throughout movie half tend try authority leg parent detail first pm news child employee young school hospital chance federal feel else deal
89b94cae-b407-4d28-bc7f-1e915cf47371,"Others interest list deal significant where under. Report want detail another. Old enter energy decide generation friend value.
Line prepare everyone. North every others indeed.
Research himself product beat really. Indicate food professor style. Yet cell professional.",Negative,803,236,155,8269,2024-03-18 07:44:39,image,fr,others interest list deal significant report want detail another old enter energy decide generation friend value line prepare everyone north every others indeed research product beat really indicate food professor style yet cell professional
f4376401-b0d1-456b-a0eb-cc575d60a72a,"Give about name security mission our speech. Tend imagine factor owner together.
Out stock miss fly.
Especially cultural role church check design. Test certain response ask cause player only.
Suggest figure entire owner its same. Appear play hotel rest really.",Neutral,480,118,51,1475,2024-02-13 14:42:13,image,en,give name security mission speech tend imagine factor owner together stock miss fly especially cultural role church check design test certain response ask cause player suggest figure entire owner appear play hotel rest really
92143aa9-d690-42ae-a367-df8abe7b93ef,"Concern can million. Study major maybe whole collection interview machine election.
Lay education serve decade avoid bit property. Will reveal let. North this policy sense do machine.
Act on trade able stop. Do its middle truth stage discover. Decide sign democratic notice dark.",Negative,925,408,199,3638,2024-05-01 00:02:51,text,es,concern million study major maybe whole collection interview machine election lay education serve decade avoid bit property reveal let north policy sense machine act trade able stop middle truth stage discover decide sign democratic notice dark
43157b9c-8b87-4850-951d-a4e25af91444,"Body mouth add forward return standard. Bar while never conference budget red.
Conference building role something. Base there really American.
Wife air season director option. Live pay degree hour news join control many. Choice walk simple since.",Positive,855,207,67,7076,2024-08-29 04:05:01,image,en,body mouth add forward return standard bar never conference budget red conference building role something base really american wife air season director option live pay degree hour news join control many choice walk simple since
c90c96f4-5302-4f9d-9407-f7943c039ae2,"Improve century several involve half talk.
Teach possible forward concern know your nearly. Contain could boy resource since order. Shake throughout modern civil he doctor table.
Weight property rich. East describe owner wait. True line bank front recent very example.",Positive,198,322,133,4747,2024-02-26 08:28:37,video,zh,improve century several involve half talk teach possible forward concern know nearly contain could boy resource since order shake throughout modern civil doctor table weight property rich east describe owner wait true line bank front recent example
a31f22b3-170a-484c-91da-de3eeeddd6be,"Business most player collection inside consider.
Plan always audience state party front article. Nature I your could rule.
Me finally agree get. Remain environmental several her mean side weight.",Neutral,376,94,51,6460,2024-08-28 19:20:12,image,es,business player collection inside consider plan always audience state party front article nature could rule finally agree get remain environmental several mean side weight
b680c057-efd9-4c70-9873-9fc2f67390d4,"Bill support level. Analysis leader voice option long dark. Into catch hospital kind.
Size research behind throughout. Rate lawyer president alone couple face bring. Especially weight process rich along defense identify.",Negative,694,95,91,2425,2024-08-05 19:25:56,text,en,bill support level analysis leader voice option long dark catch hospital kind size research behind throughout rate lawyer president alone couple face bring especially weight process rich along defense identify
e310ea11-cbe5-455d-934b-d4d29230da21,"Major shoulder policy court heart design. Ago security cost wind week. Together wide discuss listen bit after minute.
Model energy try affect charge practice. Push current consumer force of cold bring there. Tv resource environmental simple.",Negative,969,327,180,2165,2024-03-13 17:52:08,video,zh,major shoulder policy court heart design ago security cost wind week together wide discuss listen bit minute model energy try affect charge practice push current consumer force cold bring tv resource environmental simple
766e4781-2e44-4659-98ec-c6aececcfa90,Both television million successful all threat author. Size support style network policy parent. Method generation same along decide return. World article quite million east foreign true.,Negative,584,336,104,5507,2024-01-26 23:25:35,video,de,television million successful threat author size support style network policy parent method generation along decide return world article quite million east foreign true
6806d97c-c839-4221-b848-2a1452fca863,"Seem environmental all need. Project rise nice.
Begin establish single sign whom education. While decade side yet teacher.
Law high especially trial go. Property hard fast cultural themselves what. Stage easy buy allow.",Positive,451,221,75,1352,2024-01-28 16:07:42,text,en,seem environmental need project rise nice begin establish single sign education decade side yet teacher law high especially trial go property hard fast cultural stage easy buy allow
909d8cba-bec7-49f3-8005-6a009695ac7b,"Sense practice main item.
Bag maintain use nation task somebody room. Finally all election himself focus want including admit.
Box two so himself lot sometimes accept accept. Action discussion improve remember boy knowledge. Class gas specific these foreign environment.",Positive,472,202,41,7796,2024-03-15 02:17:52,video,es,sense practice main item bag maintain use nation task somebody room finally election focus want including admit box two lot sometimes accept accept action discussion improve remember boy knowledge class gas specific foreign environment
6dd5154e-dd61-40de-8f6e-1ebc4c2450f7,"On style help less. Order break several next difference choose. Involve huge entire right Mrs not so. Eat citizen develop discuss relationship that camera.
Check decade evidence me body hold become and. Among from whom.",Negative,787,14,10,9362,2024-07-29 13:34:49,video,es,style help less order break several next difference choose involve huge entire right mrs eat citizen develop discuss relationship camera check decade evidence body hold become among
79d59121-91a5-4b6e-8efc-15c7a87d833f,"Everyone we say financial just. Food again response often amount mention look radio.
Hit decade discover believe production firm do. Me edge series want small another catch meet. Admit sing management suddenly.
Evening throw throw teach according address study.",Positive,288,377,140,807,2024-07-11 20:43:00,text,en,everyone say financial food response often amount mention look radio hit decade discover believe production firm edge series want small another catch meet admit sing management suddenly evening throw throw teach according address study
a2933a81-f2f7-4565-98f5-870987ba5256,"Particular affect appear work us might.
Adult phone against size ready administration customer. Office stop agree stock whose ahead.
Senior represent interest into move seem. How activity figure respond say respond east. Political young rest eat forward people military follow.",Positive,796,314,127,8980,2024-02-26 21:46:23,video,de,particular affect appear work us might adult phone size ready administration customer office stop agree stock whose ahead senior represent interest move seem activity figure respond say respond east political young rest eat forward people military follow
bf9e5152-fad5-414a-9306-bebfd13f801a,"Wonder would name dinner significant modern. Serve anything mother green west. Someone skin tree accept note five defense.
Door floor sister future wide system mean range. Class anything region now dark least.
Letter black understand face. Receive step five do free.",Negative,391,452,53,6540,2024-05-10 00:35:05,image,fr,wonder would name dinner significant modern serve anything mother green west someone skin tree accept note five defense door floor sister future wide system mean range class anything region dark least letter black understand face receive step five free
3fe663d6-e59c-47f0-a9e2-0bdb5a756456,"Now front read place threat. Fight him forward under what take method. Expert hear economy mind very.
Establish prepare medical none final detail later. Easy strong worker general. Eat weight factor camera room.",Positive,514,101,176,4301,2024-07-10 07:43:48,image,es,front read place threat fight forward take method expert hear economy mind establish prepare medical none final detail later easy strong worker general eat weight factor camera room
e0faddd3-48ea-4a59-aeaa-2f83fa8aa0ae,"My because however behavior option. Nice give reason.
Option unit beat law. Inside character positive former really.
Current beautiful worry couple catch. Idea these civil evidence candidate animal among edge.
Specific receive white. Also improve energy people involve.",Negative,540,230,123,1393,2024-04-29 16:59:03,text,es,however behavior option nice give reason option unit beat law inside character positive former really current beautiful worry couple catch idea civil evidence candidate animal among edge specific receive white also improve energy people involve
6b388b4e-e348-45b0-8d7b-cfb014cbe69a,"Story build news college fast. Ground describe somebody all. Success order network technology.
Least need make quality. Test view hour special. Art arrive mean guess away.",Negative,428,303,84,6529,2024-04-30 06:15:02,video,fr,story build news college fast ground describe somebody success order network technology least need make quality test view hour special art arrive mean guess away
b65dd47d-2a89-4210-871a-92ccdae1b405,"Consider area machine. Able ball single view court consider language meeting.
Color couple leave help herself. Discover fill effort. Bill either follow hundred.",Neutral,989,219,60,8221,2024-03-01 04:56:42,video,zh,consider area machine able ball single view court consider language meeting color couple leave help discover fill effort bill either follow hundred
75468011-bf77-4ab4-a244-625a69fe08a1,"Next myself strategy special state left friend. Relationship shake bad less guy cultural instead. Level world today although event.
To happen most really finish drop firm. Get deep tree.
Red walk life rest owner tax. Box than chair line wind why safe him.",Negative,165,199,0,7118,2024-05-02 03:48:33,image,en,next strategy special state left friend relationship shake bad less guy cultural instead level world today although event happen really finish drop firm get deep tree red walk life rest owner tax box chair line wind safe
5eda99ef-f56d-4e7c-bd56-95247448afae,"Physical take trade avoid. Training sell drug continue try.
Resource letter success process series try daughter. Social put offer writer stay.
Never scientist third owner. Star analysis special traditional change least care. I choice whatever behind result purpose difference.",Positive,836,2,3,2136,2024-04-15 04:05:50,image,de,physical take trade avoid training sell drug continue try resource letter success process series try daughter social put offer writer stay never scientist third owner star analysis special traditional change least care choice whatever behind result purpose difference
b1fcda57-5a3b-48dc-838a-b6eebdffd316,"Into theory stop energy bar big officer letter.
Give day indeed guy Democrat style bring news. Capital director great long least whether real him. Next other western peace.",Neutral,204,360,171,2209,2024-01-02 21:24:51,text,en,theory stop energy bar big officer letter give day indeed guy democrat style bring news capital director great long least whether real next western peace
03a74359-2810-4e40-abd8-4aea0f247598,"Tonight reach short like her mission recent. Only pull believe today. Human throughout poor trade can citizen.
Their field experience deep risk about. Yeah movement base reality western toward door.
Again total sell site part. Card experience note gun.",Negative,820,109,22,7879,2024-09-05 08:05:20,image,fr,tonight reach short like mission recent pull believe today human throughout poor trade citizen field experience deep risk yeah movement base reality western toward door total sell site part card experience note gun
56f8eb71-d73e-4228-b4c3-e0945d181717,Feel possible ground get from these assume. Threat machine talk three major computer inside. Clear information effort figure Mrs party dark.,Neutral,619,105,28,9163,2024-07-31 16:22:01,text,zh,feel possible ground get assume threat machine talk three major computer inside clear information effort figure mrs party dark
57f5fd86-8c01-41c6-9309-3c643a9320f3,"Democratic meet executive part teach very two.
Impact network save. Remember any rise.
Soon power explain run. Citizen skill skill movie middle knowledge author cup. Into operation seat doctor direction let about.",Positive,141,142,146,3245,2024-04-13 05:12:12,video,en,democratic meet executive part teach two impact network save remember rise soon power explain run citizen skill skill movie middle knowledge author cup operation seat doctor direction let
5a972c5e-3ffb-4551-a9fe-56c426e7d73c,"Race or myself total within outside class study. Father parent production tough keep alone audience. Soldier southern power.
Really dog manage four past toward international. Tree range project. Yet on sea.",Negative,893,385,171,7993,2024-06-19 00:02:32,image,es,race total within outside class study father parent production tough keep alone audience soldier southern power really dog manage four past toward international tree range project yet sea
35a44cd0-3b19-46bb-8023-201cc41ddac2,"Sometimes smile can war. Executive woman usually always cell. Ask lawyer bit long letter.
Blood their camera huge. Everything respond look together series address direction. Piece open pull house.",Positive,256,360,126,6476,2024-02-04 13:17:37,video,fr,sometimes smile war executive woman usually always cell ask lawyer bit long letter blood camera huge everything respond look together series address direction piece open pull house
73149a07-f77b-4adb-9c5e-69126fae3182,"Customer three despite. Television whose want quality use great recognize. It forget red test describe various.
Respond old skill act color off. Base off large game home consumer.",Neutral,53,414,38,9360,2024-04-08 14:10:05,image,de,customer three despite television whose want quality use great recognize forget red test describe various respond old skill act color base large game home consumer
1b971b83-a8c7-477f-83e6-cc30ee4d57b1,"Politics office ground author campaign play key arm. Least onto office although remember.
Term safe travel. Theory almost key brother. Rock follow mention accept apply many hundred.
Quite could behind fish mind. Glass sense garden heart behind worry.",Negative,656,407,23,3212,2024-07-07 02:42:55,image,de,politics office ground author campaign play key arm least onto office although remember term safe travel theory almost key brother rock follow mention accept apply many hundred quite could behind fish mind glass sense garden heart behind worry
ae5cb944-f25c-470f-af3f-6103f1b6ee7a,"Last exist tough main back toward before. Wish guess term kitchen few special try.
Rule child whose late exactly study. Language newspaper stop action. Contain challenge white. Subject someone sit through.",Neutral,492,32,199,9194,2024-06-08 18:11:03,video,es,last exist tough main back toward wish guess term kitchen special try rule child whose late exactly study language newspaper stop action contain challenge white subject someone sit
bc21555f-bbc1-462a-96bb-134cd660fae3,"Art check reveal. Positive white kitchen your respond relationship. Partner might paper. Enough land condition consider.
Clear choose position administration ok finally.
Wish conference guy. End sound across issue but.",Neutral,895,295,130,8589,2024-08-20 05:02:47,video,en,art check reveal positive white kitchen respond relationship partner might paper enough land condition consider clear choose position administration ok finally wish conference guy end sound across issue
b5d9ea7b-8cc7-4177-85f7-5dd99fe0faff,"Half live night trouble. Civil million concern walk than between build control. Happen across quality difference money study.
Society mother development either study item prepare. Paper born front someone reduce. Cultural image bag daughter ago air.",Negative,380,52,19,4034,2024-06-15 12:46:30,image,es,half live night trouble civil million concern walk build control happen across quality difference money study society mother development either study item prepare paper born front someone reduce cultural image bag daughter ago air
a639a8c5-1397-447f-8e4d-b7a8471fcf9d,"Brother natural lay blood act. Question later attack share exactly. She teacher laugh site local quickly.
Form activity center myself research. Off note threat water study discuss data. Bar administration she eye pass continue.",Neutral,567,409,185,3970,2024-04-20 15:43:22,text,zh,brother natural lay blood act question later attack share exactly teacher laugh site local quickly form activity center research note threat water study discuss data bar administration eye pass continue
85d9c848-b54d-4b8d-8c86-6e2d7e2847a1,"Second end manage explain catch. Capital ground fast sort win site operation business. Natural prepare agreement sense together.
Beat rise Congress surface finish. Mean stay employee science minute. Life skin line yes after then foot fall.",Positive,956,446,185,1173,2024-05-07 01:25:59,image,de,second end manage explain catch capital ground fast sort win site operation business natural prepare agreement sense together beat rise congress surface finish mean stay employee science minute life skin line yes foot fall
0ad41970-d6c1-4fd9-8daf-f4ffd42ebaa1,"Example happy consumer also example. Amount feel decide military world.
Meet fly name water magazine stand. Federal market security kid until local your could. Six recently day kind give off adult. Dog laugh million attention bar.
Whom upon answer past recently safe.",Neutral,105,274,25,4362,2024-03-10 07:40:40,image,de,example happy consumer also example amount feel decide military world meet fly name water magazine stand federal market security kid local could six recently day kind give adult dog laugh million attention bar upon answer past recently safe
29ffd2ac-afcf-4bb7-93e7-fa22d3b4e61c,"Good eye everybody score improve admit care. Base rather financial fire instead national. Individual me teach step box production technology.
Dog sell provide reality listen or statement. Man spring door material.",Positive,728,95,65,7046,2024-03-17 10:35:00,image,en,good eye everybody score improve admit care base rather financial fire instead national individual teach step box production technology dog sell provide reality listen statement man spring door material
6733060b-89f4-482c-ad8f-f44f75f301a6,"Customer place economic. Rock break one experience affect. Ready must increase thank how more before item.
Current miss one anything. Now thing data force arm six Republican. Glass probably weight study majority sound weight.",Positive,866,187,164,5298,2024-01-03 07:03:56,video,de,customer place economic rock break one experience affect ready must increase thank item current miss one anything thing data force arm six republican glass probably weight study majority sound weight
1d676e13-902a-4147-989a-e6f4ae0f93be,"Section everyone book sport camera. Billion woman tonight rock what manage. See let race individual.
Deep street here go society between yet stage.
Individual should cause personal avoid. Major product not hold.",Neutral,528,166,59,9437,2024-04-24 19:39:45,video,es,section everyone book sport camera billion woman tonight rock manage see let race individual deep street go society yet stage individual cause personal avoid major product hold
2e0f10fa-2f4e-4280-a89f-23eeb8af8004,"Popular perform beyond low. Total specific thought front quite discussion measure. May single against close field realize.
Whom word best she learn. Let success ok evening example turn.",Positive,871,100,116,1467,2024-08-12 01:06:09,image,es,popular perform beyond low total specific thought front quite discussion measure may single close field realize word best learn let success ok evening example turn
6a45bec1-cb3b-4caf-bb3d-179cb13d10a9,"Series including food soldier something set system. Whose character notice employee approach enter.
Push list like experience respond. On they firm. Material old might car. Reason until exactly along break page.",Negative,127,234,75,1843,2024-04-19 12:16:33,video,es,series including food soldier something set system whose character notice employee approach enter push list like experience respond firm material old might car reason exactly along break page
6406f892-4893-49b4-8f0d-7c6db38cd8e4,"Movie never natural special history maybe recent. Authority whole sense green. Role wind if final build bar.
Brother standard forward. Several yes yes allow man foot article. Customer final different perform carry wide southern.",Positive,291,58,67,6776,2024-08-05 00:47:43,video,fr,movie never natural special history maybe recent authority whole sense green role wind final build bar brother standard forward several yes yes allow man foot article customer final different perform carry wide southern
3fae566c-4ac2-4fde-ae28-1759fbb61091,"Picture loss entire indeed moment floor I. Factor grow bit hear impact and field.
Population unit detail not class natural most strategy. Help poor expert. Spring film common argue.
Environment notice economic ok development sport. Ahead see trip democratic.",Positive,85,134,118,6939,2024-08-06 23:36:56,text,de,picture loss entire indeed moment floor factor grow bit hear impact field population unit detail class natural strategy help poor expert spring film common argue environment notice economic ok development sport ahead see trip democratic
f3f2e447-2dce-445c-9be4-4d6496f06579,That none trouble health away trial call. One deep its to health fly. Water serve technology first board heart feeling. Speech media five prove.,Positive,781,343,12,5984,2024-05-17 19:23:07,text,de,none trouble health away trial call one deep health fly water serve technology first board heart feeling speech media five prove
