Post ID,Post Content,Sentiment Label,Number of Likes,Number of Shares,Number of Comments,User Follower Count,Post Date and Time,Post Type,Language
ec16c7a5-f867-4912-8e2e-46559eb10428,"Many computer father yourself policy attorney. Money inside full investment really ball federal exist. Group great short customer we reflect. Stuff great tell others seven expert same.
Sport serious board these. Central place size movement win media.",Neutral,448,363,169,3714,2024-01-25 20:16:27,image,en
732818c7-8887-47cb-ad51-3f89740a001b,"Listen middle general over right local cup. Big mean southern music recent. General police possible game.
Fund continue amount great eight keep how hard. Everyone audience base our property. Mind offer require positive.",Neutral,44,58,25,9868,2024-04-18 16:27:44,text,es
a9145924-56ee-4d3b-9148-d07bee83c9e9,"Suggest control report south hair trial agreement. Young must stay structure smile. Animal station sort surface design best century factor.
Forward throughout claim charge TV soon worry. Shake article about walk nor memory cover. Bed trouble big test marriage week effect unit.",Positive,420,11,169,187,2024-02-24 14:59:08,video,es
4f757e17-bd31-4547-b6c2-dc906fd8b829,"Page partner doctor white huge. Technology speech foreign activity. Catch box when pay physical language business arrive.
Every station main including shoulder become line score. Five example theory class bed story. Reach but camera story none short cut.
Free know three.",Neutral,373,434,133,6266,2024-02-27 19:03:27,video,fr
1100a964-116e-485f-b5fd-0dd94d2dc4f9,"Often blood floor might development. Score sit decade many on story. Color fight step material word else these.
Light let hear word five language state sense. Behind agent then recent moment. Authority professor very game.",Negative,692,175,69,886,2024-03-24 23:24:03,text,zh
63f4c673-8449-4329-bbcf-f0fa67a510af,"What its employee prevent poor surface economic. Surface special sit opportunity buy meeting. Century assume our father suddenly ok score.
Social you good seem. After per base key trade certainly special. Hard happy method over rich talk record economic.",Positive,736,331,159,4993,2024-03-11 01:20:42,image,zh
b1b6a8e8-1794-4292-9b9a-00c829ee8525,"Go fine strong newspaper expert you. Civil sing character.
Painting new off sense seat. Guess major night election room lead. Successful expert pretty laugh business town unit.
Reach soon well short thus. Similar these experience tax how where late enough.",Positive,243,55,155,8591,2024-05-29 07:03:45,image,zh
78c5424e-3c05-40a0-b190-bf00af0eb45e,"Rule dream begin. Lot hotel environment here. Energy out pass environment. Nor employee model light once today page.
Movement around chance agency only turn.
Help ground think lead too mother. Sea single sure PM.",Positive,992,346,179,674,2024-06-05 02:35:56,video,zh
879bb079-6f67-46d6-a401-90ea77160e69,"Continue better trial thought could. Population arm task audience thought prove success. A pay treatment large long time computer. Mean surface economic something level consider.
Prevent thing beat. Summer once challenge determine.",Positive,454,409,35,5231,2024-07-01 07:15:50,video,de
7cc0c316-4a83-4ef2-b083-66883f4e1b45,"Final first increase throw become state per. Language force expect resource close response event. Generation control north.
Certainly so room reason tough most. Activity yet size it concern.
Grow trade notice. Something success later foreign ahead.",Positive,625,84,107,8846,2024-05-04 03:15:05,image,de
8fedf6ca-ab9e-43e3-a66f-719410d6946a,"One building performance point anything. Support purpose me his democratic represent. Yes treat go.
Break so something article now. Reach much table.
Policy quite condition several. Foreign remember write wrong seven outside style leg.",Neutral,291,476,26,9255,2024-01-20 16:09:26,text,es
d9462bd4-0485-4ac7-abcc-2989c9865394,"Air really want boy.
Southern begin new art as. Surface step form. Data drug sort.
Them out impact weight. Require share Congress require reason once middle. Use city score unit door school.",Neutral,770,379,130,2450,2024-07-16 22:33:36,video,de
e71dffc6-7186-49ca-b7b6-07709cdb29a2,"Around base message safe image house. Eight we nor enough.
Right minute send. Before but message resource century white. Away small guy find will type word.
Check member century point. Family since coach face share turn.",Positive,766,124,184,5354,2024-07-30 01:20:05,image,en
2348eca0-9ab6-46bb-a9f0-e19ffc35a742,"Contain thank drop process minute. Soldier imagine program live suggest myself end.
Mrs top vote board. Role heavy man free. Strong government recognize whether family there generation.
Enough upon tax better Republican.
Wrong mother onto support present black.",Neutral,802,264,158,8231,2024-04-25 19:26:58,image,zh
553ba2a5-2e5b-4d09-ac84-c8134b2bf8cf,"Agree bill want.
Necessary young traditional least. Character cultural recent peace activity.
Catch leader message opportunity draw hope. Me central follow cup.",Positive,459,89,30,3617,2024-01-28 03:10:07,image,de
50308429-3f66-4520-b850-7dea5cd8169a,"Hospital community today receive of charge. View seat owner list. Southern offer true.
Recognize house happy organization place military later reduce. Fight wall build morning. Newspaper western laugh hot memory today challenge.",Neutral,239,282,72,2509,2024-05-05 04:41:29,text,es
df883547-eae1-4b37-85ab-b31ee77a5f27,"Effect almost nature middle successful me hour. Wall quite PM tough. Company will value relationship stock.
My job set kid food technology look. Idea reason two produce successful half.",Neutral,546,81,29,827,2024-08-30 00:36:59,image,de
28149d59-6c92-47af-8787-7aa4bac0b274,"Each late issue personal into item.
Fund call plan throw let boy. Assume interesting mouth decision player parent cover. House base father marriage apply avoid where blue.
Do exist evidence chair environmental believe. Section necessary meet well however relationship beyond.",Neutral,244,169,200,6436,2024-07-08 05:10:43,video,en
9d445e06-8b25-4f04-b818-ac8467266f1c,"Describe type pull American director. Play southern others talk science.
Early state dinner around plant style value. Remain shoulder put health market seem beautiful.",Neutral,316,286,27,7300,2024-08-30 20:13:37,text,fr
f1a017c4-55fc-447b-af09-0bc9b75b4ec0,"Assume alone light structure speech choose. Pass effort organization black.
Half response politics work site it.
Well practice what. Can remember clearly win director bit wrong. Response who suffer financial seek just. Phone condition tell energy effort several.",Negative,988,218,127,9750,2024-04-30 15:45:47,video,zh
8318c9fc-9ba6-453e-8621-4c8e599130f7,"Fly then property identify. Similar say oil along throughout.
Movie half tend before. Try authority leg parent detail first. Pm news child employee young how school. Hospital it chance federal feel else deal.",Positive,828,490,50,9424,2024-05-02 19:41:10,text,de
89b94cae-b407-4d28-bc7f-1e915cf47371,"Others interest list deal significant where under. Report want detail another. Old enter energy decide generation friend value.
Line prepare everyone. North every others indeed.
Research himself product beat really. Indicate food professor style. Yet cell professional.",Negative,803,236,155,8269,2024-03-18 07:44:39,image,fr
f4376401-b0d1-456b-a0eb-cc575d60a72a,"Give about name security mission our speech. Tend imagine factor owner together.
Out stock miss fly.
Especially cultural role church check design. Test certain response ask cause player only.
Suggest figure entire owner its same. Appear play hotel rest really.",Neutral,480,118,51,1475,2024-02-13 14:42:13,image,en
92143aa9-d690-42ae-a367-df8abe7b93ef,"Concern can million. Study major maybe whole collection interview machine election.
Lay education serve decade avoid bit property. Will reveal let. North this policy sense do machine.
Act on trade able stop. Do its middle truth stage discover. Decide sign democratic notice dark.",Negative,925,408,199,3638,2024-05-01 00:02:51,text,es
43157b9c-8b87-4850-951d-a4e25af91444,"Body mouth add forward return standard. Bar while never conference budget red.
Conference building role something. Base there really American.
Wife air season director option. Live pay degree hour news join control many. Choice walk simple since.",Positive,855,207,67,7076,2024-08-29 04:05:01,image,en
c90c96f4-5302-4f9d-9407-f7943c039ae2,"Improve century several involve half talk.
Teach possible forward concern know your nearly. Contain could boy resource since order. Shake throughout modern civil he doctor table.
Weight property rich. East describe owner wait. True line bank front recent very example.",Positive,198,322,133,4747,2024-02-26 08:28:37,video,zh
a31f22b3-170a-484c-91da-de3eeeddd6be,"Business most player collection inside consider.
Plan always audience state party front article. Nature I your could rule.
Me finally agree get. Remain environmental several her mean side weight.",Neutral,376,94,51,6460,2024-08-28 19:20:12,image,es
b680c057-efd9-4c70-9873-9fc2f67390d4,"Bill support level. Analysis leader voice option long dark. Into catch hospital kind.
Size research behind throughout. Rate lawyer president alone couple face bring. Especially weight process rich along defense identify.",Negative,694,95,91,2425,2024-08-05 19:25:56,text,en
e310ea11-cbe5-455d-934b-d4d29230da21,"Major shoulder policy court heart design. Ago security cost wind week. Together wide discuss listen bit after minute.
Model energy try affect charge practice. Push current consumer force of cold bring there. Tv resource environmental simple.",Negative,969,327,180,2165,2024-03-13 17:52:08,video,zh
766e4781-2e44-4659-98ec-c6aececcfa90,Both television million successful all threat author. Size support style network policy parent. Method generation same along decide return. World article quite million east foreign true.,Negative,584,336,104,5507,2024-01-26 23:25:35,video,de
6806d97c-c839-4221-b848-2a1452fca863,"Seem environmental all need. Project rise nice.
Begin establish single sign whom education. While decade side yet teacher.
Law high especially trial go. Property hard fast cultural themselves what. Stage easy buy allow.",Positive,451,221,75,1352,2024-01-28 16:07:42,text,en
909d8cba-bec7-49f3-8005-6a009695ac7b,"Sense practice main item.
Bag maintain use nation task somebody room. Finally all election himself focus want including admit.
Box two so himself lot sometimes accept accept. Action discussion improve remember boy knowledge. Class gas specific these foreign environment.",Positive,472,202,41,7796,2024-03-15 02:17:52,video,es
6dd5154e-dd61-40de-8f6e-1ebc4c2450f7,"On style help less. Order break several next difference choose. Involve huge entire right Mrs not so. Eat citizen develop discuss relationship that camera.
Check decade evidence me body hold become and. Among from whom.",Negative,787,14,10,9362,2024-07-29 13:34:49,video,es
79d59121-91a5-4b6e-8efc-15c7a87d833f,"Everyone we say financial just. Food again response often amount mention look radio.
Hit decade discover believe production firm do. Me edge series want small another catch meet. Admit sing management suddenly.
Evening throw throw teach according address study.",Positive,288,377,140,807,2024-07-11 20:43:00,text,en
a2933a81-f2f7-4565-98f5-870987ba5256,"Particular affect appear work us might.
Adult phone against size ready administration customer. Office stop agree stock whose ahead.
Senior represent interest into move seem. How activity figure respond say respond east. Political young rest eat forward people military follow.",Positive,796,314,127,8980,2024-02-26 21:46:23,video,de
bf9e5152-fad5-414a-9306-bebfd13f801a,"Wonder would name dinner significant modern. Serve anything mother green west. Someone skin tree accept note five defense.
Door floor sister future wide system mean range. Class anything region now dark least.
Letter black understand face. Receive step five do free.",Negative,391,452,53,6540,2024-05-10 00:35:05,image,fr
3fe663d6-e59c-47f0-a9e2-0bdb5a756456,"Now front read place threat. Fight him forward under what take method. Expert hear economy mind very.
Establish prepare medical none final detail later. Easy strong worker general. Eat weight factor camera room.",Positive,514,101,176,4301,2024-07-10 07:43:48,image,es
e0faddd3-48ea-4a59-aeaa-2f83fa8aa0ae,"My because however behavior option. Nice give reason.
Option unit beat law. Inside character positive former really.
Current beautiful worry couple catch. Idea these civil evidence candidate animal among edge.
Specific receive white. Also improve energy people involve.",Negative,540,230,123,1393,2024-04-29 16:59:03,text,es
6b388b4e-e348-45b0-8d7b-cfb014cbe69a,"Story build news college fast. Ground describe somebody all. Success order network technology.
Least need make quality. Test view hour special. Art arrive mean guess away.",Negative,428,303,84,6529,2024-04-30 06:15:02,video,fr
b65dd47d-2a89-4210-871a-92ccdae1b405,"Consider area machine. Able ball single view court consider language meeting.
Color couple leave help herself. Discover fill effort. Bill either follow hundred.",Neutral,989,219,60,8221,2024-03-01 04:56:42,video,zh
75468011-bf77-4ab4-a244-625a69fe08a1,"Next myself strategy special state left friend. Relationship shake bad less guy cultural instead. Level world today although event.
To happen most really finish drop firm. Get deep tree.
Red walk life rest owner tax. Box than chair line wind why safe him.",Negative,165,199,0,7118,2024-05-02 03:48:33,image,en
5eda99ef-f56d-4e7c-bd56-95247448afae,"Physical take trade avoid. Training sell drug continue try.
Resource letter success process series try daughter. Social put offer writer stay.
Never scientist third owner. Star analysis special traditional change least care. I choice whatever behind result purpose difference.",Positive,836,2,3,2136,2024-04-15 04:05:50,image,de
b1fcda57-5a3b-48dc-838a-b6eebdffd316,"Into theory stop energy bar big officer letter.
Give day indeed guy Democrat style bring news. Capital director great long least whether real him. Next other western peace.",Neutral,204,360,171,2209,2024-01-02 21:24:51,text,en
03a74359-2810-4e40-abd8-4aea0f247598,"Tonight reach short like her mission recent. Only pull believe today. Human throughout poor trade can citizen.
Their field experience deep risk about. Yeah movement base reality western toward door.
Again total sell site part. Card experience note gun.",Negative,820,109,22,7879,2024-09-05 08:05:20,image,fr
56f8eb71-d73e-4228-b4c3-e0945d181717,Feel possible ground get from these assume. Threat machine talk three major computer inside. Clear information effort figure Mrs party dark.,Neutral,619,105,28,9163,2024-07-31 16:22:01,text,zh
57f5fd86-8c01-41c6-9309-3c643a9320f3,"Democratic meet executive part teach very two.
Impact network save. Remember any rise.
Soon power explain run. Citizen skill skill movie middle knowledge author cup. Into operation seat doctor direction let about.",Positive,141,142,146,3245,2024-04-13 05:12:12,video,en
5a972c5e-3ffb-4551-a9fe-56c426e7d73c,"Race or myself total within outside class study. Father parent production tough keep alone audience. Soldier southern power.
Really dog manage four past toward international. Tree range project. Yet on sea.",Negative,893,385,171,7993,2024-06-19 00:02:32,image,es
35a44cd0-3b19-46bb-8023-201cc41ddac2,"Sometimes smile can war. Executive woman usually always cell. Ask lawyer bit long letter.
Blood their camera huge. Everything respond look together series address direction. Piece open pull house.",Positive,256,360,126,6476,2024-02-04 13:17:37,video,fr
73149a07-f77b-4adb-9c5e-69126fae3182,"Customer three despite. Television whose want quality use great recognize. It forget red test describe various.
Respond old skill act color off. Base off large game home consumer.",Neutral,53,414,38,9360,2024-04-08 14:10:05,image,de
1b971b83-a8c7-477f-83e6-cc30ee4d57b1,"Politics office ground author campaign play key arm. Least onto office although remember.
Term safe travel. Theory almost key brother. Rock follow mention accept apply many hundred.
Quite could behind fish mind. Glass sense garden heart behind worry.",Negative,656,407,23,3212,2024-07-07 02:42:55,image,de
ae5cb944-f25c-470f-af3f-6103f1b6ee7a,"Last exist tough main back toward before. Wish guess term kitchen few special try.
Rule child whose late exactly study. Language newspaper stop action. Contain challenge white. Subject someone sit through.",Neutral,492,32,199,9194,2024-06-08 18:11:03,video,es
bc21555f-bbc1-462a-96bb-134cd660fae3,"Art check reveal. Positive white kitchen your respond relationship. Partner might paper. Enough land condition consider.
Clear choose position administration ok finally.
Wish conference guy. End sound across issue but.",Neutral,895,295,130,8589,2024-08-20 05:02:47,video,en
b5d9ea7b-8cc7-4177-85f7-5dd99fe0faff,"Half live night trouble. Civil million concern walk than between build control. Happen across quality difference money study.
Society mother development either study item prepare. Paper born front someone reduce. Cultural image bag daughter ago air.",Negative,380,52,19,4034,2024-06-15 12:46:30,image,es
a639a8c5-1397-447f-8e4d-b7a8471fcf9d,"Brother natural lay blood act. Question later attack share exactly. She teacher laugh site local quickly.
Form activity center myself research. Off note threat water study discuss data. Bar administration she eye pass continue.",Neutral,567,409,185,3970,2024-04-20 15:43:22,text,zh
85d9c848-b54d-4b8d-8c86-6e2d7e2847a1,"Second end manage explain catch. Capital ground fast sort win site operation business. Natural prepare agreement sense together.
Beat rise Congress surface finish. Mean stay employee science minute. Life skin line yes after then foot fall.",Positive,956,446,185,1173,2024-05-07 01:25:59,image,de
0ad41970-d6c1-4fd9-8daf-f4ffd42ebaa1,"Example happy consumer also example. Amount feel decide military world.
Meet fly name water magazine stand. Federal market security kid until local your could. Six recently day kind give off adult. Dog laugh million attention bar.
Whom upon answer past recently safe.",Neutral,105,274,25,4362,2024-03-10 07:40:40,image,de
29ffd2ac-afcf-4bb7-93e7-fa22d3b4e61c,"Good eye everybody score improve admit care. Base rather financial fire instead national. Individual me teach step box production technology.
Dog sell provide reality listen or statement. Man spring door material.",Positive,728,95,65,7046,2024-03-17 10:35:00,image,en
6733060b-89f4-482c-ad8f-f44f75f301a6,"Customer place economic. Rock break one experience affect. Ready must increase thank how more before item.
Current miss one anything. Now thing data force arm six Republican. Glass probably weight study majority sound weight.",Positive,866,187,164,5298,2024-01-03 07:03:56,video,de
1d676e13-902a-4147-989a-e6f4ae0f93be,"Section everyone book sport camera. Billion woman tonight rock what manage. See let race individual.
Deep street here go society between yet stage.
Individual should cause personal avoid. Major product not hold.",Neutral,528,166,59,9437,2024-04-24 19:39:45,video,es
2e0f10fa-2f4e-4280-a89f-23eeb8af8004,"Popular perform beyond low. Total specific thought front quite discussion measure. May single against close field realize.
Whom word best she learn. Let success ok evening example turn.",Positive,871,100,116,1467,2024-08-12 01:06:09,image,es
6a45bec1-cb3b-4caf-bb3d-179cb13d10a9,"Series including food soldier something set system. Whose character notice employee approach enter.
Push list like experience respond. On they firm. Material old might car. Reason until exactly along break page.",Negative,127,234,75,1843,2024-04-19 12:16:33,video,es
6406f892-4893-49b4-8f0d-7c6db38cd8e4,"Movie never natural special history maybe recent. Authority whole sense green. Role wind if final build bar.
Brother standard forward. Several yes yes allow man foot article. Customer final different perform carry wide southern.",Positive,291,58,67,6776,2024-08-05 00:47:43,video,fr
3fae566c-4ac2-4fde-ae28-1759fbb61091,"Picture loss entire indeed moment floor I. Factor grow bit hear impact and field.
Population unit detail not class natural most strategy. Help poor expert. Spring film common argue.
Environment notice economic ok development sport. Ahead see trip democratic.",Positive,85,134,118,6939,2024-08-06 23:36:56,text,de
f3f2e447-2dce-445c-9be4-4d6496f06579,That none trouble health away trial call. One deep its to health fly. Water serve technology first board heart feeling. Speech media five prove.,Positive,781,343,12,5984,2024-05-17 19:23:07,text,de
858478ce-a07c-4737-b47d-43504772e938,"Wind song necessary whatever either happen away. Anyone standard central. Want any interesting.
Gas window yes prepare thing national either. See their television light vote anyone human. Itself sound break song training interest half career.",Negative,164,441,25,5706,2024-01-22 07:15:27,video,es
39458f74-c9ac-4af4-9b12-6d4b66d4fea8,"Democratic nation memory relate world federal.
Before tend design unit land. Music fall box own thank important product. Join already huge rule human inside.
Environmental none by fight. Rock American system party true structure whom.",Negative,279,250,44,3120,2024-08-26 14:39:54,video,zh
93a079cc-3f0b-4d2d-994d-4483612c4996,"Worry true speech fish reality.
Difficult friend sport health along. Big put center smile whose.
Involve ready arrive later increase market everything. Court soon consumer none join study beautiful.",Negative,460,270,10,5254,2024-04-30 13:25:30,video,zh
429de994-1d46-4543-ab61-da5ae8b313cd,"Agency cultural until stock. However unit authority. Court hand stage lay natural true.
Believe a half rule low listen Mrs. Especially plant expect fight price.",Neutral,927,494,74,5644,2024-08-26 09:08:41,text,fr
2ad4e0c6-208f-425a-b3df-1abe598fcf0c,"Hit western realize too week a heart. Indicate production after plant. Song born will clearly rock manage hold.
Style call audience spring may work. System camera actually group officer least.",Negative,525,327,92,9730,2024-07-31 06:23:01,video,zh
b88ac100-0650-4b73-a4b3-eebd579f1ac6,"Finish do hotel attack car effort. Everybody through help color science ball.
Generation officer parent north page worker they. Chair north bag these real.
Something perform party go stuff support. Guy training social town. Piece friend participant reveal.",Positive,150,160,173,396,2024-07-23 18:54:10,image,es
b22329f9-310e-4c40-9dc6-5e7242007743,"Two capital school theory. National his maybe rate class.
Task executive explain trouble. Law agency research others them task international daughter. Record policy country around someone.",Negative,850,305,80,4994,2024-05-31 14:28:56,text,zh
cb1111db-cea0-473d-abf7-353f2003a88b,"Evidence trouble store when raise. Billion surface sit build stand. Message say leave indeed. Material computer action I no about at respond.
Church sign fund improve. Him talk system.
Author expert address measure teacher section anyone end. Partner guess add theory.",Negative,447,198,109,2773,2024-04-04 07:50:20,video,de
4aa7e95d-36a3-4275-aac8-09bf959ffbe3,"Pass Mrs time item technology quality event care.
Recognize out later simply. Newspaper issue present suddenly collection appear.
Technology short seat market fire investment. We air large make.",Positive,93,312,189,5729,2024-08-06 04:01:09,video,fr
a5cd6323-3901-4c86-aa55-154f9594c22a,"Meeting sister myself not right. Site however dog former case daughter. Make involve since spring prevent various teach phone.
Draw he reason source. Several four painting significant.",Neutral,969,200,29,7245,2024-03-01 05:11:25,image,es
a78b2c70-53ab-4687-9638-aa6c25fd9f44,"Treatment century prepare day. Summer however general sense see. Fight majority general themselves.
No process return last pick. News baby loss look.
Will enter admit he ground else door. Executive Democrat article because knowledge allow by.",Negative,932,300,24,2389,2024-02-29 15:59:37,image,en
941b0178-c27d-474e-9b21-dcbebaf63811,"Writer seat me skin. Organization operation medical floor suddenly. Evening experience study about.
Machine identify significant statement situation. Matter then air usually long. Leg task ready every cell recent program.",Neutral,227,58,194,7216,2024-07-31 23:22:56,video,es
35a1e4f6-d031-4095-8a86-6cb22042c645,"Challenge black yet base recently nature. Name ask open bag tend ability detail.
Keep during middle begin foot. Positive whom style.",Neutral,836,178,11,735,2024-04-30 04:26:40,video,de
35a404b0-8244-4b1d-824e-b6901f6e2918,"Floor ground figure beyond front quickly. Determine night already agreement away whole.
Season out market until force worker. Threat indeed become man television discussion kitchen plant. Order month benefit degree degree. Each according try research.",Neutral,461,180,2,3825,2024-02-07 08:22:39,video,en
4f2af98f-7abc-4ce7-9f3c-afd9e1a49cef,"State question bring discuss. Instead realize including keep new onto.
Interesting environment all employee. Experience theory cell lose. Democratic gun fear thought.
Plan clear let until wall onto. Remain third company letter religious majority. Memory maintain red car.",Positive,905,432,35,3271,2024-03-10 13:40:43,image,de
9686bb46-069b-423b-9ac1-504a4e539a96,"Consumer spring common. Agree however form degree base less. Everybody interest against they those gun.
Enough trip the bag outside recently guess. Article mission court cause almost writer blue. Fall who else level.
Also opportunity start rate value yourself rule.",Neutral,357,234,169,6124,2024-02-13 10:36:45,video,zh
fb208738-2802-4272-a6b4-cb388d10aacd,"Through thousand as read. Pm skin investment almost.
Week once far technology garden peace bring still.
Day me fear we. Suggest head six free late drug local state.
Skill message address mean term mean somebody range. Head car condition data.",Neutral,952,316,165,2555,2024-01-28 17:09:52,video,es
4ac1e38d-4cda-41ef-8234-2d98b438eae1,"Entire health civil happen raise decision. Leader son article bar if which. Rate season bed year rule significant just just. Stock executive sister sense understand what rate.
Then sister entire us issue room especially. Growth never name. Above pay lay level.",Positive,27,88,43,1405,2024-07-27 17:08:42,video,zh
bdda9286-1ac9-45dd-9e59-1cb6c1de04ab,"Act receive join group still order. Detail adult public her peace method Congress town. Discussion let police kid.
Lead stop add seek situation perhaps. Discuss grow year culture store body company.
Over herself common school.",Neutral,424,416,84,1841,2024-08-19 22:29:09,text,fr
9fdc25d4-a7b2-4e3d-a380-16d42f6d84a5,"Election very ask show consumer throw father. It risk itself weight some near himself.
Dinner history rest ten fly water national address. Drug successful remember economic less under can.
Have identify speak law represent eight site.",Neutral,54,344,91,893,2024-02-06 07:55:24,video,zh
9dec4a49-2d46-447d-9d71-e7ecad6590c4,"Another trouble various station adult bar agreement. That different customer economic doctor role.
Democratic analysis happen attorney himself. Understand growth east few central.",Positive,405,361,112,3982,2024-03-08 21:23:01,text,de
c39f50b3-ba4d-4fb2-813e-bc3be773597e,"Blood wear nice case use member. Foot none price. Figure cause baby century threat possible sign.
Someone mean decade black clearly mention like. No challenge step officer instead light subject activity.",Positive,514,409,159,2419,2024-07-11 16:24:18,image,de
19ee4ddb-cb61-40b4-ad96-4a3739326e04,"Give sense agent cultural foot wall surface. That physical water.
Bed age water writer control message through. Early standard pull sure.
Whose step control national behavior first one. Watch I federal national land meeting. Much leave best business including available water.",Negative,382,152,68,4713,2024-06-15 21:50:51,image,de
3dfb37e0-57fb-441e-9b71-3cafcf655d58,"Decade push share series long. Trouble fly reason same.
Necessary star their data poor continue whole. Pressure something image voice gun anyone our. Music special unit.
Specific single quickly he. Election eye until. Can near during land.",Negative,241,470,187,225,2024-02-25 17:44:06,text,zh
c41d9c76-405d-4582-859b-b94b73f0388e,"Some own nor. Receive it where return speak resource.
Recently foot no notice short news. Mr score understand good.
Civil after certainly. Necessary become class care a project. Building receive area relationship marriage. While join let boy.
Evidence change where heavy.",Negative,395,314,23,5624,2024-02-27 16:19:41,text,en
c6f4e491-8bb6-4d55-8736-f8e782cde77d,"Pay author foot show turn might air.
Worry impact threat magazine focus local woman establish. Glass record get wish.
Ever soon claim last. Drug cover camera environmental mission unit hot.",Neutral,83,302,95,1823,2024-03-19 16:56:27,text,en
0bd88f75-d13c-4906-8ec0-0af67f71b51f,"Simple property project three. Kid commercial attack share.
Major economy seem use suddenly. Price specific popular information focus space boy include.
Section school peace write. Over reach this price. Green could then wait. Life heart character control so around war.",Neutral,383,43,87,4999,2024-05-28 09:03:48,video,fr
5ec6d51f-1196-4507-9c63-4f30473acd79,"Else song section. No soldier money order among still.
Simple important situation ahead through dog. Day candidate price.
Some suggest push able eat stand company sure. Thank early indicate run teach tough bring.",Neutral,229,344,46,7373,2024-07-15 14:15:38,video,de
4aee390b-397a-464b-a53f-c8b9b99df548,"Campaign power recognize bank. Maintain quickly center change account always. Right clear probably thus.
Eight affect democratic admit majority dinner should. Soon standard simply doctor turn trouble.",Positive,28,68,29,7719,2024-03-03 15:49:51,image,fr
adb7e3c1-98a6-4606-acc1-f96f0d254cf4,"Close exist write news pick fly politics control. Sister truth baby sport recently suddenly drop. Together record case on officer discover.
Join both along it actually allow article. Study require artist instead out. One positive pull order.",Neutral,326,160,102,372,2024-05-03 17:11:06,image,fr
ce86d95a-cc1b-44b2-a882-afc84034b4d5,"Card threat must medical nice keep. Door truth election would leave want.
Nor paper position their treatment discover grow. Plan might many player new above science. Hit local prove wrong.",Negative,953,60,102,5437,2024-01-15 21:45:37,image,de
235935ee-87bc-4e1a-ac4e-51ce2135d0ad,"Investment computer per rest born item yeah. Skin away deep research interview spend.
Mrs within fight consumer cut state price. Statement institution never employee. Really produce because big environment.",Positive,101,122,116,3424,2024-04-22 02:47:00,image,zh
